route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
255_49,1,NORMAL_255_Sutarwadi Bus Stand To Pimplegurav_Up-0600_0,Sutarwadi Bus Stand To Pimplegurav,,1,,4218,,,255/1,1,1,255_49 - Sutarwadi Bus Stand To Pimplegurav,255-49-sutarwadi-bus-stand-to-pimplegurav
255_49,1,NORMAL_255_Pimplegurav  To Sutarwadi Bus Stand_Down-0645_0,Pimplegurav  To Sutarwadi Bus Stand,,1,,4430,,,255/1,2,2,255_49 - Pimplegurav  To Sutarwadi Bus Stand,255-49-pimplegurav-to-sutarwadi-bus-stand
39,1,NORMAL_39_Dhankawadi To Pune Station_Up-0600_0,Dhankawadi To Pune Station,,0,,3528,,,39/1,1,1,39 - Dhankawadi To Pune Station,39-dhankawadi-to-pune-station
39,1,NORMAL_39_Pune Station To Dhankawadi_Down-0645_0,Pune Station To Dhankawadi,,0,,3531,,,39/1,2,2,39 - Pune Station To Dhankawadi,39-pune-station-to-dhankawadi
41,1,NORMAL_41_Upper Depot To Sangvi_Up-0705_0,Upper Depot To Sangvi,,0,,2843,,,41/1,1,1,41 - Upper Depot To Sangvi,41-upper-depot-to-sangvi
41,1,NORMAL_41_Sangvi To Upper Depot_Down-0835_0,Sangvi To Upper Depot,,0,,2956,,,41/1,2,2,41 - Sangvi To Upper Depot,41-sangvi-to-upper-depot
104,1,NORMAL_104_Deccan Gymkhana To DSK Vishwa_Up-0530_0,Deccan Gymkhana To DSK Vishwa,,0,,3427,,,104/1,1,1,104 - Deccan Gymkhana To DSK Vishwa,104-deccan-gymkhana-to-dsk-vishwa
104,1,NORMAL_104_DSK Vishwa To Deccan Gymkhana_Down-0610_0,DSK Vishwa To Deccan Gymkhana,,0,,3428,,,104/1,2,2,104 - DSK Vishwa To Deccan Gymkhana,104-dsk-vishwa-to-deccan-gymkhana
110,1,NORMAL_110_Ma Na Pa To Ma Na Pa_Round-0610_0,Ma Na Pa To Ma Na Pa,,0,,3489,,,110/1,1,1,110 - Ma Na Pa To Ma Na Pa,110-ma-na-pa-to-ma-na-pa
121,1,NORMAL_121_Bhosari Terminal To Ma Na Pa_Down-0510_0,Bhosari Terminal To Ma Na Pa,,0,,4823,,,121/1,1,1,121 - Bhosari Terminal To Ma Na Pa,121-bhosari-terminal-to-ma-na-pa
121,1,NORMAL_121_Ma Na Pa To Bhosari Terminal_Up-0545_0,Ma Na Pa To Bhosari Terminal,,0,,4825,,,121/1,2,2,121 - Ma Na Pa To Bhosari Terminal,121-ma-na-pa-to-bhosari-terminal
123,1,NORMAL_123_Ma Na Pa To Bhakti Shakti_Up-0550_0,Ma Na Pa To Bhakti Shakti,,0,,4735,,,123/1,1,1,123 - Ma Na Pa To Bhakti Shakti,123-ma-na-pa-to-bhakti-shakti
123,1,NORMAL_123_Bhakti Shakti To Ma Na Pa_Down-0645_0,Bhakti Shakti To Ma Na Pa,,0,,4736,,,123/1,2,2,123 - Bhakti Shakti To Ma Na Pa,123-bhakti-shakti-to-ma-na-pa
170B,1,NORMAL_170B_Pune Station To Kondhwa Hospital_Up-0605_0,Pune Station To Kondhwa Hospital,,0,,3760,,,170/12,1,1,170B - Pune Station To Kondhwa Hospital,170b-pune-station-to-kondhwa-hospital
170B,1,NORMAL_170B_Kondhwa Hospital To Pune Station_Down-0700_0,Kondhwa Hospital To Pune Station,,0,,3761,,,170/12,2,2,170B - Kondhwa Hospital To Pune Station,170b-kondhwa-hospital-to-pune-station
179,1,NORMAL_179_Swargate To Vadachiwadi_Up-0835_0,Swargate To Vadachiwadi,,0,,3666,,,179/1,1,1,179 - Swargate To Vadachiwadi,179-swargate-to-vadachiwadi
179,1,NORMAL_179_Vadachiwadi To swargate_Down-0930_0,Vadachiwadi To swargate,,0,,3667,,,179/1,2,2,179 - Vadachiwadi To swargate,179-vadachiwadi-to-swargate
327C,1,NORMAL_327C_Nehrunagar Depo To Alandi_Up-0545_0,Nehrunagar Depo To Alandi,,0,,3978,,,302/5,1,1,327C - Nehrunagar Depo To Alandi,327c-nehrunagar-depo-to-alandi
296A,1,NORMAL_296A_Katraj To Jambhulwadi_Up-0520_0,Katraj To Jambhulwadi,,0,,3673,,,290/1,1,1,296A - Katraj To Jambhulwadi,296a-katraj-to-jambhulwadi
296,1,NORMAL_296_Jambhulwadi To Shivajinagar_Up-0540_0,Jambhulwadi To Shivajinagar,,0,,4036,,,290/1,2,2,296 - Jambhulwadi To Shivajinagar,296-jambhulwadi-to-shivajinagar
296,1,NORMAL_296_Shivajinagar To Jambhulwadi_Down-0650_0,Shivajinagar To Jambhulwadi,,0,,4037,,,290/1,3,3,296 - Shivajinagar To Jambhulwadi,296-shivajinagar-to-jambhulwadi
296A,1,NORMAL_296A_Jambhulwadi To Katraj_Down-2130_0,Jambhulwadi To Katraj,,0,,3674,,,290/1,14,6,296A - Jambhulwadi To Katraj,296a-jambhulwadi-to-katraj
335,1,NORMAL_335_Nehrunagar Depot To Jambe_Up-0540_0,Nehrunagar Depot To Jambe,,1,,3868,,,335/1,1,1,335 - Nehrunagar Depot To Jambe,335-nehrunagar-depot-to-jambe
335,1,NORMAL_335_Nere Dattawadi To Nehrunagar Depot_Down-2115_0,Nere Dattawadi To Nehrunagar Depot,,1,,5087,,,335/2,18,8,335 - Nere Dattawadi To Nehrunagar Depot,335-nere-dattawadi-to-nehrunagar-depot
207,1,NORMAL_207_Hadapsar To Saswad_Up-1735_0,Hadapsar To Saswad,,0,,4346,,,207/6,13,5,207 - Hadapsar To Saswad,207-hadapsar-to-saswad
68S,1,NORMAL_68S_Upper Depot To Sutardara_Down-0740_0,Upper Depot To Sutardara,,0,,2770,,,68/1,1,1,68S - Upper Depot To Sutardara,68s-upper-depot-to-sutardara
